epoches:  20 | fidelity:0.840256 | time:2020-02-07 13:54:14 | duration:0.030000
epoches:  30 | fidelity:0.854347 | time:2020-02-07 13:54:58 | duration:0.040000
epoches:  40 | fidelity:0.867427 | time:2020-02-07 13:55:41 | duration:0.050000
epoches:  50 | fidelity:0.879530 | time:2020-02-07 13:56:27 | duration:0.060000
epoches:  60 | fidelity:0.890695 | time:2020-02-07 13:57:13 | duration:0.080000
epoches:  70 | fidelity:0.900964 | time:2020-02-07 13:58:02 | duration:0.090000
epoches:  80 | fidelity:0.910386 | time:2020-02-07 13:58:48 | duration:0.100000
epoches:  90 | fidelity:0.919010 | time:2020-02-07 13:59:36 | duration:0.120000
epoches:   0 | fidelity:0.926884 | time:2020-02-07 14:00:25 | duration:0.000000
epoches:  10 | fidelity:0.934061 | time:2020-02-07 14:01:14 | duration:0.010000
epoches:  20 | fidelity:0.940589 | time:2020-02-07 14:02:03 | duration:0.030000
epoches:  30 | fidelity:0.946516 | time:2020-02-07 14:02:51 | duration:0.040000
epoches:  40 | fidelity:0.951890 | time:2020-02-07 14:03:39 | duration:0.060000
epoches:  50 | fidelity:0.956755 | time:2020-02-07 14:04:28 | duration:0.070000
epoches:  60 | fidelity:0.961154 | time:2020-02-07 14:05:18 | duration:0.080000
epoches:  70 | fidelity:0.965126 | time:2020-02-07 14:06:08 | duration:0.100000
epoches:  80 | fidelity:0.968709 | time:2020-02-07 14:06:59 | duration:0.110000
epoches:  90 | fidelity:0.971938 | time:2020-02-07 14:07:49 | duration:0.120000
epoches:   0 | fidelity:0.974845 | time:2020-02-07 14:08:38 | duration:0.000000
epoches:  10 | fidelity:0.977460 | time:2020-02-07 14:09:28 | duration:0.010000
epoches:  20 | fidelity:0.979811 | time:2020-02-07 14:10:19 | duration:0.030000
epoches:  30 | fidelity:0.981923 | time:2020-02-07 14:11:09 | duration:0.040000
epoches:  40 | fidelity:0.983819 | time:2020-02-07 14:11:57 | duration:0.060000
epoches:  50 | fidelity:0.985520 | time:2020-02-07 14:12:46 | duration:0.070000
epoches:  60 | fidelity:0.987046 | time:2020-02-07 14:13:36 | duration:0.080000
epoches:  70 | fidelity:0.988414 | time:2020-02-07 14:14:27 | duration:0.100000
epoches:  80 | fidelity:0.989640 | time:2020-02-07 14:15:18 | duration:0.110000
epoches:  90 | fidelity:0.990738 | time:2020-02-07 14:16:08 | duration:0.130000
epoches:   0 | fidelity:0.328063 | time:2020-02-07 14:20:33 | duration:0.000000
epoches:  10 | fidelity:0.365891 | time:2020-02-07 14:21:22 | duration:0.010000
epoches:  20 | fidelity:0.388863 | time:2020-02-07 14:22:12 | duration:0.030000
epoches:  30 | fidelity:0.404615 | time:2020-02-07 14:23:01 | duration:0.040000
epoches:  40 | fidelity:0.416152 | time:2020-02-07 14:23:49 | duration:0.060000
epoches:  50 | fidelity:0.426026 | time:2020-02-07 14:24:40 | duration:0.070000
epoches:  60 | fidelity:0.435473 | time:2020-02-07 14:25:29 | duration:0.080000
epoches:  70 | fidelity:0.444977 | time:2020-02-07 14:26:16 | duration:0.100000
epoches:  80 | fidelity:0.454748 | time:2020-02-07 14:27:04 | duration:0.110000
epoches:  90 | fidelity:0.465031 | time:2020-02-07 14:27:53 | duration:0.120000
epoches:   0 | fidelity:0.476889 | time:2020-02-07 14:28:38 | duration:0.000000
epoches:  10 | fidelity:0.494789 | time:2020-02-07 14:29:23 | duration:0.010000
epoches:  20 | fidelity:0.517127 | time:2020-02-07 14:30:06 | duration:0.030000
epoches:  30 | fidelity:0.541709 | time:2020-02-07 14:30:54 | duration:0.040000
epoches:  40 | fidelity:0.566869 | time:2020-02-07 14:31:40 | duration:0.050000
epoches:  50 | fidelity:0.591988 | time:2020-02-07 14:32:26 | duration:0.060000
epoches:  60 | fidelity:0.616813 | time:2020-02-07 14:33:13 | duration:0.080000
epoches:  70 | fidelity:0.641178 | time:2020-02-07 14:34:00 | duration:0.090000
epoches:  80 | fidelity:0.664946 | time:2020-02-07 14:34:48 | duration:0.100000
epoches:  90 | fidelity:0.688003 | time:2020-02-07 14:35:35 | duration:0.120000
epoches:   0 | fidelity:0.710250 | time:2020-02-07 14:36:23 | duration:0.000000
epoches:  10 | fidelity:0.731607 | time:2020-02-07 14:37:10 | duration:0.010000
epoches:  20 | fidelity:0.752009 | time:2020-02-07 14:37:57 | duration:0.030000
epoches:  30 | fidelity:0.771409 | time:2020-02-07 14:38:43 | duration:0.040000
epoches:  40 | fidelity:0.789772 | time:2020-02-07 14:39:27 | duration:0.050000
epoches:  50 | fidelity:0.807080 | time:2020-02-07 14:40:14 | duration:0.070000
epoches:  60 | fidelity:0.823327 | time:2020-02-07 14:41:00 | duration:0.080000
epoches:  70 | fidelity:0.838519 | time:2020-02-07 14:41:46 | duration:0.090000
epoches:  80 | fidelity:0.852674 | time:2020-02-07 14:42:32 | duration:0.100000
epoches:  90 | fidelity:0.865818 | time:2020-02-07 14:43:17 | duration:0.120000
epoches:   0 | fidelity:0.877983 | time:2020-02-07 14:44:04 | duration:0.000000
epoches:  10 | fidelity:0.889210 | time:2020-02-07 14:44:49 | duration:0.010000
epoches:  20 | fidelity:0.899541 | time:2020-02-07 14:45:37 | duration:0.030000
epoches:  30 | fidelity:0.909025 | time:2020-02-07 14:46:25 | duration:0.040000
epoches:  40 | fidelity:0.917709 | time:2020-02-07 14:47:12 | duration:0.050000
epoches:  50 | fidelity:0.925644 | time:2020-02-07 14:47:59 | duration:0.070000
epoches:  60 | fidelity:0.932880 | time:2020-02-07 14:48:47 | duration:0.080000
epoches:  70 | fidelity:0.939466 | time:2020-02-07 14:49:34 | duration:0.090000
epoches:  80 | fidelity:0.945450 | time:2020-02-07 14:50:21 | duration:0.110000
epoches:  90 | fidelity:0.950879 | time:2020-02-07 14:51:08 | duration:0.120000
epoches:   0 | fidelity:0.955798 | time:2020-02-07 14:51:56 | duration:0.000000
epoches:  10 | fidelity:0.960248 | time:2020-02-07 14:52:44 | duration:0.010000
epoches:  20 | fidelity:0.964270 | time:2020-02-07 14:53:31 | duration:0.030000
epoches:  30 | fidelity:0.967901 | time:2020-02-07 14:54:16 | duration:0.040000
epoches:  40 | fidelity:0.971176 | time:2020-02-07 14:55:03 | duration:0.050000
epoches:  50 | fidelity:0.974127 | time:2020-02-07 14:55:49 | duration:0.070000
epoches:  60 | fidelity:0.976785 | time:2020-02-07 14:56:35 | duration:0.080000
epoches:  70 | fidelity:0.979176 | time:2020-02-07 14:57:22 | duration:0.090000
epoches:  80 | fidelity:0.981326 | time:2020-02-07 14:58:10 | duration:0.100000
epoches:  90 | fidelity:0.983259 | time:2020-02-07 14:58:57 | duration:0.120000
epoches:   0 | fidelity:0.984995 | time:2020-02-07 14:59:44 | duration:0.000000
epoches:  10 | fidelity:0.986554 | time:2020-02-07 15:00:33 | duration:0.010000
epoches:  20 | fidelity:0.987952 | time:2020-02-07 15:01:21 | duration:0.030000
epoches:  30 | fidelity:0.989207 | time:2020-02-07 15:02:07 | duration:0.040000
epoches:  40 | fidelity:0.990333 | time:2020-02-07 15:02:55 | duration:0.050000
epoches:  50 | fidelity:0.991342 | time:2020-02-07 15:03:43 | duration:0.070000
epoches:  60 | fidelity:0.992247 | time:2020-02-07 15:04:30 | duration:0.080000
epoches:  70 | fidelity:0.993058 | time:2020-02-07 15:05:16 | duration:0.090000
epoches:  80 | fidelity:0.993784 | time:2020-02-07 15:06:04 | duration:0.110000
epoches:  90 | fidelity:0.994435 | time:2020-02-07 15:06:51 | duration:0.120000
